date,group,device,gender,ratio
2025-05-08,아반떼,pc,female,65.09009
2025-05-09,아반떼,pc,female,52.92792
2025-05-10,아반떼,pc,female,20.27027
2025-05-11,아반떼,pc,female,19.81981
2025-05-12,아반떼,pc,female,51.12612
2025-05-13,아반떼,pc,female,54.27927
2025-05-14,아반떼,pc,female,60.81081
2025-05-15,아반떼,pc,female,65.76576
2025-05-16,아반떼,pc,female,44.36936
2025-05-17,아반떼,pc,female,22.97297
2025-05-18,아반떼,pc,female,17.79279
2025-05-19,아반떼,pc,female,44.81981
2025-05-20,아반떼,pc,female,63.06306
2025-05-21,아반떼,pc,female,56.98198
2025-05-22,아반떼,pc,female,58.1081
2025-05-23,아반떼,pc,female,47.52252
2025-05-24,아반떼,pc,female,17.79279
2025-05-25,아반떼,pc,female,18.24324
2025-05-26,아반떼,pc,female,56.75675
2025-05-27,아반떼,pc,female,57.88288
2025-05-28,아반떼,pc,female,52.02702
2025-05-29,아반떼,pc,female,49.32432
2025-05-30,아반떼,pc,female,41.21621
2025-05-31,아반떼,pc,female,16.44144
2025-06-01,아반떼,pc,female,15.31531
2025-06-02,아반떼,pc,female,41.66666
2025-06-03,아반떼,pc,female,22.74774
2025-06-04,아반떼,pc,female,58.55855
2025-06-05,아반떼,pc,female,49.32432
2025-06-06,아반떼,pc,female,19.36936
2025-06-07,아반떼,pc,female,18.24324
2025-06-08,아반떼,pc,female,21.17117
2025-06-09,아반떼,pc,female,64.63963
2025-06-10,아반떼,pc,female,58.1081
2025-06-11,아반떼,pc,female,51.8018
2025-06-12,아반떼,pc,female,55.63063
2025-06-13,아반떼,pc,female,56.53153
2025-06-14,아반떼,pc,female,13.96396
2025-06-15,아반떼,pc,female,20.04504
2025-06-16,아반떼,pc,female,60.81081
2025-06-17,아반떼,pc,female,56.98198
2025-06-18,아반떼,pc,female,47.52252
2025-06-19,아반떼,pc,female,55.85585
2025-06-20,아반떼,pc,female,45.04504
2025-06-21,아반떼,pc,female,17.34234
2025-06-22,아반떼,pc,female,19.59459
2025-06-23,아반떼,pc,female,60.13513
2025-06-24,아반떼,pc,female,58.78378
2025-06-25,아반떼,pc,female,67.34234
2025-06-26,아반떼,pc,female,50.67567
2025-06-27,아반떼,pc,female,47.07207
2025-06-28,아반떼,pc,female,16.66666
2025-06-29,아반떼,pc,female,18.46846
2025-06-30,아반떼,pc,female,54.95495
2025-07-01,아반떼,pc,female,48.87387
2025-07-02,아반떼,pc,female,57.43243
2025-07-03,아반떼,pc,female,47.74774
2025-07-04,아반떼,pc,female,52.02702
2025-07-05,아반떼,pc,female,22.97297
2025-07-06,아반떼,pc,female,19.36936
2025-07-07,아반떼,pc,female,53.82882
2025-07-08,아반떼,pc,female,62.61261
2025-07-09,아반떼,pc,female,62.38738
2025-07-10,아반떼,pc,female,58.33333
2025-07-11,아반떼,pc,female,58.1081
2025-07-12,아반떼,pc,female,18.91891
2025-07-13,아반떼,pc,female,23.87387
2025-07-14,아반떼,pc,female,51.8018
2025-07-15,아반떼,pc,female,64.41441
2025-07-16,아반떼,pc,female,62.83783
2025-07-17,아반떼,pc,female,50.22522
2025-07-18,아반떼,pc,female,47.07207
2025-07-19,아반떼,pc,female,18.69369
2025-07-20,아반떼,pc,female,20.27027
2025-07-21,아반떼,pc,female,49.77477
2025-07-22,아반떼,pc,female,64.18918
2025-07-23,아반떼,pc,female,59.68468
2025-07-24,아반떼,pc,female,54.05405
2025-07-25,아반떼,pc,female,58.55855
2025-07-26,아반떼,pc,female,20.94594
2025-07-27,아반떼,pc,female,18.91891
2025-07-28,아반떼,pc,female,71.62162
2025-07-29,아반떼,pc,female,82.88288
2025-07-30,아반떼,pc,female,70.72072
2025-07-31,아반떼,pc,female,64.41441
2025-08-01,아반떼,pc,female,62.16216
2025-08-02,아반떼,pc,female,21.17117
2025-08-03,아반떼,pc,female,19.36936
2025-08-04,아반떼,pc,female,72.29729
2025-08-05,아반떼,pc,female,67.34234
2025-08-06,아반떼,pc,female,74.09909
2025-08-07,아반떼,pc,female,58.1081
2025-08-08,아반떼,pc,female,61.93693
2025-08-09,아반떼,pc,female,31.98198
2025-08-10,아반떼,pc,female,23.87387
2025-08-11,아반떼,pc,female,72.07207
2025-08-12,아반떼,pc,female,75.9009
2025-08-13,아반떼,pc,female,75.22522
2025-08-14,아반떼,pc,female,71.84684
2025-08-15,아반떼,pc,female,17.11711
2025-08-16,아반떼,pc,female,22.29729
2025-08-17,아반떼,pc,female,22.97297
2025-08-18,아반떼,pc,female,91.89189
2025-08-19,아반떼,pc,female,86.71171
2025-08-20,아반떼,pc,female,82.65765
2025-08-21,아반떼,pc,female,76.8018
2025-08-22,아반떼,pc,female,65.31531
2025-08-23,아반떼,pc,female,19.59459
2025-08-24,아반떼,pc,female,22.74774
2025-08-25,아반떼,pc,female,82.43243
2025-08-26,아반떼,pc,female,78.37837
2025-08-27,아반떼,pc,female,87.61261
2025-08-28,아반떼,pc,female,86.71171
2025-08-29,아반떼,pc,female,70.72072
2025-08-30,아반떼,pc,female,18.69369
2025-08-31,아반떼,pc,female,17.56756
2025-09-01,아반떼,pc,female,71.84684
2025-09-02,아반떼,pc,female,72.74774
2025-09-03,아반떼,pc,female,72.97297
2025-09-04,아반떼,pc,female,75.22522
2025-09-05,아반떼,pc,female,79.95495
2025-09-06,아반떼,pc,female,28.15315
2025-09-07,아반떼,pc,female,24.09909
2025-09-08,아반떼,pc,female,78.82882
2025-09-09,아반떼,pc,female,72.52252
2025-09-10,아반떼,pc,female,68.46846
2025-09-11,아반떼,pc,female,75.45045
2025-09-12,아반떼,pc,female,60.58558
2025-09-13,아반떼,pc,female,21.17117
2025-09-14,아반떼,pc,female,19.14414
2025-09-15,아반떼,pc,female,66.66666
2025-09-16,아반떼,pc,female,75.9009
2025-09-17,아반떼,pc,female,73.42342
2025-09-18,아반떼,pc,female,68.91891
2025-09-19,아반떼,pc,female,67.34234
2025-09-20,아반떼,pc,female,12.61261
2025-09-21,아반떼,pc,female,19.36936
2025-09-22,아반떼,pc,female,72.29729
2025-09-23,아반떼,pc,female,67.79279
2025-09-24,아반떼,pc,female,60.58558
2025-09-25,아반떼,pc,female,63.73873
2025-09-26,아반떼,pc,female,44.36936
2025-09-27,아반떼,pc,female,22.52252
2025-09-28,아반떼,pc,female,20.04504
2025-09-29,아반떼,pc,female,54.05405
2025-09-30,아반떼,pc,female,59.009
2025-10-01,아반떼,pc,female,54.72972
2025-10-02,아반떼,pc,female,46.39639
2025-10-03,아반떼,pc,female,17.79279
2025-10-04,아반떼,pc,female,16.89189
2025-10-05,아반떼,pc,female,17.56756
2025-10-06,아반떼,pc,female,15.54054
2025-10-07,아반떼,pc,female,21.17117
